headword,headword_raw,translation
გინოგაფა,ginogafa,to compensate
ანაფარა,anafara,cassock
კოროცხუა,korocxua,"to count, to calculate"
ანგილოზი,angilozi,angel
ვარდა,varda,or
ანდრეზი,andrezi,"will, testament"
წკონდა,wkonda,pure
ანტკეცი,antkeci,fishing rod
ინჭირია,inWiria,elder
აპრილი,aprili,April
ვა,va,not
ვარი,vari,no
მითინ,miTin,"nobody, no one"
არათითი,araTiTi,ring finger
ჰარამი,harami,smth. ill-earned
მუთუნ,muTun,nothing
ჭყანა,Wyana,strength
არაყი,arayi,vodka
აბორჯება,aborjeba,to mix up
ესხილიტაფა,esxilitafa,to reflect
ანდოგანი,andogani,environment
აბორჯებულო,aborjebulo,confusedly
აბორჯებული,aborjebuli,"mixed, confused"
თოლიშ,ToliS,to evade
სოთინ,soTin,nowhere
იშასხუნუა,iSasxunua,to choose
ერცქემი,ercqemi,chamois
არწივი,arwivi,eagle
არხი,arxi,channel
ასაკი,asaki,age
წანა,wana,age
ოში,oSi,hundred
ეშმაკიშ,eSmakiS,dogrose
გილაცოჸინი,gilacoYini,to jump on one leg
ოსურსქუა,osursqua,daughter
ატამა,atama,peach
ეშაღალა,eSaRala,to take up
დღანება,dRaneba,malignant
თაქ,Taq,here
ამარემერ,amar-emer,here and there
თაქიანი,Taqiani,local
თაურე,Taure,"here, this way"
აქილე,aqile,"here, this way"
თეურე,Teure,there
ვიქილე,viqile,there
არქემი,arqemi,camel
ალართალა,alarTala,to avoid
ვარ,var,no more
მითინვარ,miTinvar,nobody
თანაფა,Tanafa,Easter
ეჭოფუა,eWofua,to take
აღვირი,aRviri,bridle
მორდუალა,morduala,to bring up
არგამათ,argamaT,"to acknowledge, to confess"
მოვარაფა,movarafa,"to suppress, to stop"
ეკი,eki,up
ეკიგიმე,eki-gime,up and down
ეშმაულარი,eSmaulari,ascending
ეკოხონი,ekoxoni,rise
გასაკვირი,gasakviri,"perturbing, disturbing"
მარდუალი,marduali,educator
ბჟაიოლუ,bJaiolu,the East
